🚀 Supabase Upload Script Started
Processing [237/3027] photo_3.jpg... ✅ Done.
Processing [238/3027] photo_1.PNG... ❌ Upload failed: Unexpected token '<', "<html>
<h"... is not valid JSON
Processing [239/3027] photo_1.PNG... ✅ Done.
Processing [240/3027] photo_1.jpg... ✅ Done.
Processing [241/3027] photo_1.PNG... ✅ Done.
Processing [242/3027] photo_1.PNG... ✅ Done.
Processing [243/3027] photo_1.PNG... ✅ Done.
Processing [244/3027] photo_1.PNG... ✅ Done.
Processing [245/3027] photo_1.PNG... ✅ Done.
Processing [246/3027] photo_1.PNG... ✅ Done.
Processing [247/3027] photo_1.PNG... ✅ Done.
Processing [248/3027] photo_1.PNG... ✅ Done.
Processing [249/3027] photo_1.PNG... ✅ Done.
Processing [250/3027] photo_1.PNG... ✅ Done.
Processing [251/3027] photo_1.PNG... ✅ Done.
Processing [252/3027] photo_1.PNG... ✅ Done.
Processing [253/3027] photo_1.PNG... ✅ Done.
Processing [254/3027] photo_1.PNG... ✅ Done.
Processing [255/3027] photo_1.PNG... ✅ Done.
Processing [256/3027] photo_1.PNG... ✅ Done.
Processing [257/3027] photo_1.PNG... ✅ Done.
Processing [258/3027] photo_1.jpg... ✅ Done.
Processing [259/3027] photo_2.jpg... ✅ Done.
Processing [260/3027] photo_3.jpg... ✅ Done.
Processing [261/3027] photo_4.jpg... ✅ Done.
Processing [262/3027] photo_1.PNG... ✅ Done.
Processing [263/3027] photo_1.png... ✅ Done.
Processing [264/3027] photo_2.jpg... ✅ Done.
Processing [265/3027] photo_3.png... ✅ Done.
Processing [266/3027] photo_4.png... ✅ Done.
Processing [267/3027] photo_1.PNG... ✅ Done.
Processing [268/3027] photo_1.PNG... ✅ Done.
Processing [269/3027] photo_1.jpg... ✅ Done.
Processing [270/3027] photo_1.PNG... ✅ Done.
Processing [271/3027] photo_1.PNG... ✅ Done.
Processing [272/3027] photo_1.PNG... ✅ Done.
Processing [273/3027] photo_1.PNG... ✅ Done.
Processing [274/3027] photo_1.PNG... ✅ Done.
Processing [275/3027] photo_1.PNG... ✅ Done.
Processing [276/3027] photo_1.PNG... ✅ Done.
Processing [277/3027] photo_1.PNG... ✅ Done.
Processing [278/3027] photo_1.jpg... ✅ Done.
Processing [279/3027] photo_2.jpg... ✅ Done.
